Year,Model,Total Score,Total Possible,Accuracy,Total Questions,Type 1 Right,Type 1 Possible,Type 2 Right,Type 2 Possible,Type 3 Right,Type 3 Possible
2004,gpt4o,19.981643778765395,45,0.4440365284170088,5,3,13,15.981643778765395,24,1,8
2004,claude3.5s,22.132561128511846,45,0.4918346917447077,5,5,13,16.132561128511846,24,1,8
2004,claude3o,26.83469737636775,45,0.5963266083637278,5,5,13,18.834697376367746,24,3,8
2004,claude3h,22.95142195054278,45,0.5100315989009506,5,2,13,16.951421950542777,24,4,8
2004,gemini1.5p,17.97957850958175,45,0.39954618910181666,5,2,13,12.979578509581751,24,3,8
2004,gpt4,16.061937537203576,45,0.3569319452711906,5,0,13,14.061937537203576,24,2,8
2004,gpt4om,25.544078283496457,45,0.5676461840776991,5,3,13,18.544078283496457,24,4,8
2004,o1strawberry,26.323074318070987,45,0.5849572070682442,5,7,13,17.323074318070987,24,2,8
2005,gpt4o,39.76542886603609,60,0.6627571477672681,5,4,14,31.76542886603609,40,4,6
2005,claude3.5s,34.77304113409441,60,0.5795506855682402,5,3,14,29.773041134094417,40,2,6
2005,claude3o,34.94383098211283,60,0.5823971830352138,5,1,14,29.94383098211283,40,4,6
2005,claude3h,31.095806884615726,60,0.5182634480769288,5,0,14,30.095806884615726,40,1,6
2005,gemini1.5p,32.5055877825856,60,0.5417597963764267,5,1,14,27.505587782585604,40,4,6
2005,gpt4,30.667667680054414,60,0.5111277946675735,5,0,14,29.667667680054414,40,1,6
2005,gpt4om,29.891907374348893,60,0.4981984562391482,5,1,14,27.8919073743489,40,1,6
2005,o1strawberry,46.764013081620725,60,0.7794002180270121,5,14,14,26.764013081620732,40,6,6
2006,gpt4o,43.18033650125949,83,0.5202450180874637,5,11,33,22.18033650125949,30,10,20
2006,claude3o,38.61400431186995,83,0.46522896761289095,5,7,33,23.614004311869955,30,8,20
2006,gemini1.5p,50.88352197756897,83,0.6130544816574575,5,17,33,23.883521977568964,30,10,20
2006,gpt4om,34.314512989199024,83,0.4134278673397473,5,7,33,16.314512989199024,30,11,20
2006,o1strawberry,16.77921428642849,83,0.2021592082702228,5,0,33,16.77921428642849,30,0,20
2007,gpt4o,29.334057752663465,63,0.4656199643279915,4,5,31,24.334057752663465,32,0,0
2007,claude3.5s,27.97142857142857,39,0.7172161172161172,5,20,31,7.9714285714285715,8,0,0
2007,claude3o,18.072689253715016,39,0.46340228855679527,5,16,31,2.072689253715016,8,0,0
